CodUsina;Periodo;Afluencia;;;
155;1;593.36;;;
156;1;1663.52;;;
162;1;99.93;;;
169;1;2468.94;;;
172;1;0;;;
176;1;8.75;;;
178;1;0;;;
155;2;102.42;335.24;320.47;483.16
156;2;0;1377.68;602.94;1594.62
162;2;0;91.58;98.75;78.19
169;2;1527.07;3036.27;3598.74;4427.38
172;2;169.74;55.48;249.18;377.05
176;2;174.52;0;0;189.69
178;2;0;0;0;0
155;3;308.3;328.96;49.42;253.2
156;3;1394.39;1052.23;135.08;1141.29
162;3;45.73;132;8.46;68.87
169;3;1826.19;4067.41;1141.07;829.96
172;3;0;569.41;636.63;221.18
176;3;0;61.99;93.78;66.54
178;3;0;0;0;0
155;4;172.24;235.84;183.62;282.04
156;4;726.17;945.9;688.63;1116.49
162;4;108.09;95.68;92.51;131.72
169;4;2763.14;3915.43;3517.19;4524.63
172;4;0;734.96;257.62;0
176;4;169.75;0;28.74;0
178;4;0;0;0;0
155;5;115.02;84.67;71.79;100.3
156;5;340.39;353.9;297.13;147.29
162;5;52.96;48.34;46.89;27.98
169;5;1509.53;1673.82;1726.32;493.89
172;5;0;96.01;230.47;14.76
176;5;52.42;56.29;23.35;0
178;5;0;0;0;0
155;6;177.21;138.67;50.9;122.14
156;6;433.05;329.94;164.59;377.92
162;6;73.91;40.52;24.43;44.47
169;6;2419.13;943.64;1421.54;1473.38
172;6;174.08;5.58;20.69;95.84
176;6;50.07;42.94;36.67;47.07
178;6;0;0;0;0
155;7;32.83;87.03;52.25;93.16
156;7;54.67;275.36;129.96;222.96
162;7;24.32;40.69;30.49;49.08
169;7;1069.24;1033.6;1215.11;903.31
172;7;11.03;81.61;8.42;42.04
176;7;13.03;41.93;0;35.3
178;7;0;0;0;0
155;8;59.73;72.75;11.77;70.29
156;8;180.17;201.14;61.19;203.06
162;8;44.88;31.5;15.13;26.08
169;8;1290.18;816.82;453.34;795.24
172;8;126.69;0;52.36;64.12
176;8;9.57;0;0;0.31
178;8;0;0;0;0
155;9;36.73;66.73;57.71;70.95
156;9;78.53;160.86;232.61;209.89
162;9;17.79;8.21;29.04;27.67
169;9;509.82;376.14;970.12;748.49
172;9;24.4;70.07;0;87.59
176;9;0;0;24.97;0
178;9;0;0;0;0
155;10;40.89;65.1;69.09;97.06
156;10;55.35;244.95;118.67;265.54
162;10;11.65;25.96;12.69;46.11
169;10;301.84;717.42;886.52;949.16
172;10;158.69;0;0;0
176;10;51.71;0;7.8;0
178;10;0;0;0;0
155;11;223.45;52.14;90.68;14.49
156;11;532.06;0;501.74;0
162;11;12.17;0;48.94;35.16
169;11;200.25;239.43;1114.74;1103.68
172;11;0;0;0;0
176;11;0;25.73;0;16.85
178;11;0;0;0;0
155;12;285.98;395.43;360.56;288.46
156;12;965.56;1387.75;1017.88;1170.84
162;12;64;121.19;67.38;94
169;12;2246.77;3038.15;3596.34;2058.04
172;12;0;0;0;30.47
176;12;0;0;0;0
178;12;0;0;0;0
