CodUsina_defluencia;CodUsina_volume;defluencia_maxima (m3/s);jan/23;fev/23;mar/23;abr/23;mai/23;jun/23;jul/23;ago/23;set/23;out/23;nov/23;dez/23
156;156;100;30;32;34.1;38.1;40.4;40;32.5;30;30;30;30;30
156;156;150;33.6;37.1;39.3;43.3;45.6;45.2;37.7;34;-1;-1;-1;-1
156;156;200;38.7;42.3;44.5;48.5;50.8;50.4;42.9;39.2;31.3;-1;-1;33.9
156;156;250;43.8;47.4;49.8;53.7;56.1;55.6;48.2;44.4;36.4;-1;30.7;39.1
156;156;300;48.9;52.5;55;58.9;60;60;53.4;49.7;41.6;32.5;35.9;44.2
156;156;350;54.1;57.7;60;60;-1;-1;58.6;54.9;46.8;37.7;41;49.4
156;156;400;59.2;60;-1;-1;-1;-1;60;60;51.9;42.9;46.2;54.5
156;156;450;60;-1;-1;-1;-1;-1;-1;-1;57.1;48.1;51.3;59.7
156;156;500;-1;-1;-1;-1;-1;-1;-1;-1;60;60;60;60
156;156;Inf;100;100;100;100;100;100;100;100;100;100;100;100
178;169;700;32.5;35.8;44;50.9;56.4;55.2;52.1;42;31.2;24.9;21;23
178;169;800;35.3;38.6;46.9;53.8;59.3;58.1;55.1;45;34.1;27.9;24;25.9
178;169;850;38.2;41.5;49.7;56.6;60;60;58.1;48;37.1;30.9;26.9;28.8
178;169;900;41;44.3;52.6;59.5;-1;-1;60;51;40.1;33.8;29.8;31.7
178;169;950;43.8;47.1;55.4;60;-1;-1;-1;54;43;36.8;32.7;34.5
178;169;1000;46.7;49.9;58.3;-1;-1;-1;-1;60;60;60;60;37.4
178;169;1050;49.5;52.7;60;-1;-1;-1;-1;-1;-1;-1;-1;40.3
178;169;1100;52.3;55.5;-1;-1;-1;-1;-1;-1;-1;-1;-1;43.2
178;169;1150;55.1;58.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;46.1
178;169;1200;58;60;-1;-1;-1;-1;-1;-1;-1;-1;-1;48.9
178;169;1250;60;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;51.8
178;169;1300;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;54.7
178;169;1350;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;57.6
178;169;1400;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;60
178;169;1450;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
178;169;1500;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
178;169;Inf;100;100;100;100;100;100;100;100;100;100;100;100
